FECHA	BCOLO CB Equity	ELCONDOR CB Equity	CONCONC CB Equity	PFBCOLO CB Equity	GRUPOSUR CB Equity	PFGRUPSU CB Equity	ISA CB Equity	EXITO CB Equity	NUTRESA CB Equity	GRUPOARG CB Equity	CEMARGOS CB Equity	PFGRUPOA CB Equity	PFCEMARG CB Equity	ETB CB Equity	PFAVH CB Equity	CELSIA CB Equity	BVC CB Equity	ECOPETL CB Equity	BOGOTA CB Equity	GEB CB Equity	PFDAVVND CB Equity	CORFICOL CB Equity	PFAVAL CB Equity	PFCORCOL CB Equity	PFCARPAK CB Equity	MINEROS CB Equity	CNEC CB Equity	FABRI CB Equity	AVAL CB Equity	ENKA CB Equity	VALSIME CB Equity	CLH CB Equity
30/08/2021	31330	915	400	31440	19330	17930	22700	12490	21880	10700	5880	8155	4195	203.5	211.47	4300	9720	2649	72000	2680	32480	28770	1119	22330	5326.13	3739	10000	6.05	1096	15.61	6486.2	3604
31/08/2021	31070	918	395	31400	19200	17850	22700	12440	21680	10940	5900	8020	4200	202	211.47	4310	9825	2643	70500	2695	32600	28560	1120	22210	5684.57	3745	9885	6.05	1096	17	6486.2	3610
1/09/2021	31300	904	395	31600	19780	18170	22530	12480	21840	11100	5825	8180	4200	202	163.04	4250	9825	2590	71500	2680	32590	28890	1120	22600	5684.57	3730	9900	6.05	1108	17.25	6486.2	3610
2/09/2021	31200	890	395	31260	20240	18210	22800	12480	21800	11300	5835	8250	4199	202.1	160.36	4338	9840	2670	71050	2700	32540	28860	1140	22800	5684.57	3730	10100	6.05	1108	18.2	6486.2	3580
3/09/2021	31400	871	395	31300	20260	18230	22600	12480	21780	11150	5800	8330	4199	202.1	124.88	4334	9790	2635	70110	2685	32590	28790	1135	22900	5684.57	3765	10100	6.03	1108	20.01	6486.2	3544
6/09/2021	31260	886	372	31370	20190	18270	22710	12480	21780	11180	5805	8330	4199	202.1	112	4247	9790	2634	70110	2700	32240	28840	1126	22500	5684.57	3775	10160	6.03	1108	20	6486.2	3555
7/09/2021	31000	886	370.3	31100	20160	18080	22660	12280	21500	11210	5835	8315	4199	200	78.22	4250	9520	2606	70400	2700	32500	28700	1126	22500	5684.57	3755	10100	6.03	1110	22	6486.2	3400
8/09/2021	31020	860.9	390	31450	20000	18080	22800	12100	21590	11080	5830	8150	4100	199.9	70.81	4226	9650	2593	70510	2700	32470	28680	1120	22750	5684.57	3770	10050	6.05	1100	23	6486.2	3520
9/09/2021	31390	870	380	31470	20000	17990	22850	12300	21680	11100	5815	8150	4153	199.9	99.89	4241	9650	2570	71180	2750	32700	28600	1114	22750	5684.57	3765	10000	6.05	1105	23.9	6486.2	3550
10/09/2021	31290	887	375	31350	20300	18000	22660	12300	21740	11100	5870	8135	4150	200	120	4203	9600	2553	71460	2753	32330	28740	1115	22750	5684.57	3725	9895	6.05	1105	23.9	6486.2	3550
13/09/2021	30800	887	375	30990	19780	17780	22500	12300	21340	10960	5890	8090	4090	200	98.91	4203	9555	2572	71480	2796	32000	28520	1115	22200	5684.57	3670	9990	6.05	1102	23.9	6486.2	3430
